订单ID,订单编号,租户ID,机房名称,设备型号,支付状态,设备状态,购买数量,设备数量,订单金额,退款金额,最终总额,下单时间
37,1776250206816,14829,广东韶关,4090 x 8,已支付,已结束,20 x 小时时长包,1,¥268.8,¥0,¥268.8,2026-04-15 10:50:06.816082 +00:00
36,1775655175721,544,许昌机房,4090 x 8,已支付,已结束,1 x 小时时长包,1,¥13.44,¥0,¥13.44,2026-04-08 13:32:55.006937 +00:00
35,1775654840152,544,许昌机房,4090 x 8,已支付,已结束,1 x 小时时长包,1,¥13.44,¥0,¥13.44,2026-04-08 13:27:20.152041 +00:00
34,1775647122936,6159,许昌机房,H800 x 8,已支付,已结束,1 x 24小时时长包,1,¥1222,¥0,¥1222,2026-04-08 11:18:42.936 +00:00
33,1775222217610,14062,许昌机房,H800 x 8,已支付,已结束,1 x 小时时长包,1,¥0.01,¥0,¥0.01,2026-04-03 13:16:57.180731 +00:00
32,1775213830571,14062,许昌机房,H800 x 8,已支付,已结束,2 x 小时时长包,1,¥0.02,¥0,¥0.02,2026-04-03 10:57:10.135709 +00:00
31,1775207221265,14062,许昌机房,H800 x 8,已支付,已结束,2 x 小时时长包,1,¥0.02,¥0,¥0.02,2026-04-03 09:07:00.831327 +00:00
30,1775191739578,14062,许昌机房,H800 x 8,已支付,已结束,2 x 小时时长包,1,¥0.02,¥0,¥0.02,2026-04-03 04:48:59.169501 +00:00
29,1775187406920,14062,许昌机房,H800 x 8,已支付,已结束,1 x 小时时长包,1,¥0.01,¥0,¥0.01,2026-04-03 03:36:46.516998 +00:00
28,1775187406532,14062,许昌机房,H800 x 8,已支付,已结束,1 x 小时时长包,1,¥0.01,¥0,¥0.01,2026-04-03 03:36:46.145449 +00:00
27,1775187390903,14062,许昌机房,H800 x 8,已支付,已结束,1 x 小时时长包,1,¥0.01,¥0,¥0.01,2026-04-03 03:36:30.510041 +00:00
26,1775186673769,14062,许昌机房,H800 x 8,已支付,已结束,1 x 小时时长包,1,¥0.01,¥0,¥0.01,2026-04-03 03:24:33.769194 +00:00
